2026-04-09 20:04:56,461 | Qustionaire | user_id=None | request_id=eb938046-b346-46e7-9a9f-97092153a34a | [INFO] | [main.py- 88] | 新用户 ggg 进行注册
2026-04-09 20:04:56,465 | Qustionaire | user_id=None | request_id=eb938046-b346-46e7-9a9f-97092153a34a | [INFO] | [main.py- 114] | 新用户 ggg 注册成功! 机构：HBUT 部门：其他类(少数医院) 职称：副主任医师 经验：0
2026-04-09 20:04:56,724 | Qustionaire | user_id=ggg | request_id=2f1df37d-75a3-4610-a806-c26ff84b10cd | [INFO] | [main.py- 152] | 请求用户ggg页面1的数据
2026-04-09 20:04:56,725 | Qustionaire | user_id=ggg | request_id=2f1df37d-75a3-4610-a806-c26ff84b10cd | [INFO] | [main.py- 154] | 页面1的数据：{'src_image_name': '1.png', 'des_image_name': '1.png', 'reasoning': '推理与思考', 'conclusion': '回答', 'features': {'回声强度': ['无回声', '低回声', '等回声', '高回声', '不均匀回声'], '形状规则': ['椭圆形', '圆形', '不规则形'], '纵横比例': ['小于1', '等比例', '大于1'], '边界特征': ['清晰', '模糊', '成角', '微分叶', '毛刺']}, 'selected': {'回声强度': '', '形状规则': '', '纵横比例': '', '边界特征': '', 'with_ai': False, 'confidence': '', 'during_time': 0, 'diagnosis_result': ''}, 'ground_truth': {'回声强度': {'label': '无回声', 'description': '回声的描述'}, '形状规则': {'label': '椭圆形', 'description': '形状的描述'}, '纵横比例': {'label': '小于1', 'description': '纵横比的描述'}, '边界特征': {'label': '清晰', 'description': '边界的描述'}}}
2026-04-09 20:05:10,393 | Qustionaire | user_id=ggg | request_id=2796a4c9-f2fa-4e29-99a2-4b9092d0fb0a | [INFO] | [main.py- 178] | 更新用户ggg页面1的时间: 68651
2026-04-09 20:05:10,409 | Qustionaire | user_id=ggg | request_id=9c15dcff-a71c-4f9b-8c1e-ec4d61530e20 | [INFO] | [main.py- 178] | 更新用户ggg页面1的时间: 68651
2026-04-09 20:05:10,611 | Qustionaire | user_id=ggg | request_id=764f6fce-98b6-4fae-9011-211d48b77443 | [INFO] | [main.py- 152] | 请求用户ggg页面2的数据
2026-04-09 20:05:10,613 | Qustionaire | user_id=ggg | request_id=764f6fce-98b6-4fae-9011-211d48b77443 | [INFO] | [main.py- 154] | 页面2的数据：{'src_image_name': '2.png', 'des_image_name': '2.png', 'reasoning': '推理与思考', 'conclusion': '回答', 'features': {'回声强度': ['无回声', '低回声', '等回声', '高回声', '不均匀回声'], '形状规则': ['椭圆形', '圆形', '不规则形'], '纵横比例': ['小于1', '等比例', '大于1'], '边界特征': ['清晰', '模糊', '成角', '微分叶', '毛刺']}, 'selected': {'回声强度': '', '形状规则': '', '纵横比例': '', '边界特征': '', 'with_ai': True, 'confidence': '', 'during_time': 0, 'diagnosis_result': '', 'assistant': ''}, 'ground_truth': {'回声强度': {'label': '无回声', 'description': '回声的描述'}, '形状规则': {'label': '椭圆形', 'description': '形状的描述'}, '纵横比例': {'label': '小于1', 'description': '纵横比的描述'}, '边界特征': {'label': '清晰', 'description': '边界的描述'}}}
2026-04-09 20:05:14,492 | Qustionaire | user_id=ggg | request_id=a228a0f1-aa03-4080-a58a-58fc3d726a5f | [INFO] | [main.py- 178] | 更新用户ggg页面2的时间: 3792
2026-04-09 20:05:14,518 | Qustionaire | user_id=ggg | request_id=c4b39e86-99e9-4329-bd0f-8a6f3cb9b542 | [INFO] | [main.py- 178] | 更新用户ggg页面2的时间: 3793
2026-04-09 20:05:14,755 | Qustionaire | user_id=ggg | request_id=d98821ac-b1de-4f85-928a-f0fe1452d4ce | [INFO] | [main.py- 152] | 请求用户ggg页面1的数据
